col1,col2,col3,col4
0.593641521,1.364344974,10.22445826,20.1256951
0.367066907,1.762235819,10.88280437,20.91076706
0.163283861,1.272355634,10.43576263,20.81720464
0.785311474,1.411087839,10.28644432,20.26058169
0.725097184,1.546473686,10.54009146,20.04492997
0.542242395,1.996143624,10.88691588,20.75208745
0.117576415,1.520520824,10.37371946,20.66605827
0.356663245,1.937885756,10.84433938,20.30938054
0.002841449,1.690157846,10.10083394,20.28432858
0.72213487,1.814351496,10.00381252,20.75354082
