customer_id,delivered_week,product,campaign,channel,revenue
55,2015-W26,classic-box,Full price,full-price,49
75,2015-W43,classic-box,Pol1Agency_50_outdoor,direct-sales,49
76,2015-W15,classic-box,Full Price,full-price,49
117,2015-W36,veggie-box,amazon19_20_KAE_BHers_AT,gift-card-flyer-campaigns,39
117,2015-W37,veggie-box,amazon19_20_KAE_BHers_AT,gift-card-flyer-campaigns,39
117,2015-W38,veggie-box,amazon19_20_KAE_BHers_AT,gift-card-flyer-campaigns,39
117,2015-W39,veggie-box,amazon19_20_KAE_BHers_AT,gift-card-flyer-campaigns,39
117,2015-W40,veggie-box,amazon19_20_KAE_BHers_AT,gift-card-flyer-campaigns,39
117,2015-W41,veggie-box,amazon19_20_KAE_BHers_AT,gift-card-flyer-campaigns,39
117,2015-W42,veggie-box,amazon19_20_KAE_BHers_AT,gift-card-flyer-campaigns,39
117,2015-W43,veggie-box,amazon19_20_KAE_BHers_AT,gift-card-flyer-campaigns,39
153,2015-W16,veggie-box,Full Price,full-price,39
207,2015-W15,veggie-box,RUG56M,refer-a-friend,39
207,2015-W17,veggie-box,RUG56M,refer-a-friend,39
207,2015-W19,veggie-box,RUG56M,refer-a-friend,39
207,2015-W21,veggie-box,RUG56M,refer-a-friend,39
207,2015-W22,veggie-box,RUG56M,refer-a-friend,39
207,2015-W23,veggie-box,RUG56M,refer-a-friend,39
207,2015-W25,veggie-box,RUG56M,refer-a-friend,39
207,2015-W28,veggie-box,RUG56M,refer-a-friend,39
207,2015-W30,veggie-box,RUG56M,refer-a-friend,39
207,2015-W33,veggie-box,RUG56M,refer-a-friend,39
207,2015-W35,veggie-box,RUG56M,refer-a-friend,39
207,2015-W38,veggie-box,RUG56M,refer-a-friend,39
225,2015-W16,classic-box,Full Price,full-price,49
225,2015-W18,classic-box,Full Price,full-price,49
225,2015-W20,classic-box,Full Price,full-price,49
225,2015-W22,classic-box,Full Price,full-price,49
225,2015-W24,classic-box,Full Price,full-price,49
225,2015-W26,classic-box,Full Price,full-price,49
225,2015-W28,classic-box,Full Price,full-price,49
225,2015-W30,classic-box,Full Price,full-price,49
225,2015-W32,classic-box,Full Price,full-price,49
225,2015-W34,classic-box,Full Price,full-price,49
225,2015-W38,classic-box,Full Price,full-price,49
225,2015-W40,classic-box,Full Price,full-price,49
225,2015-W42,classic-box,Full Price,full-price,49
241,2015-W15,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W16,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W18,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W20,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W21,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W22,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W23,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W24,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W25,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W26,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W27,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W28,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W29,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W32,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W33,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W34,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W35,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W36,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W37,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W38,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W39,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W40,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W41,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W42,veggie-box,Daily Deal Wien 3x2,daily-deals,39
241,2015-W43,veggie-box,Daily Deal Wien 3x2,daily-deals,39
248,2015-W16,classic-box,Full Price,full-price,49
248,2015-W20,classic-box,Full Price,full-price,49
248,2015-W22,classic-box,Full Price,full-price,49
248,2015-W23,classic-box,Full Price,full-price,49
248,2015-W24,classic-box,Full price,full-price,49
248,2015-W33,classic-box,Full price,full-price,49
248,2015-W34,classic-box,Full price,full-price,49
248,2015-W37,classic-box,Full price,full-price,49
287,2015-W15,classic-box,Full price,full-price,49
287,2015-W16,classic-box,Full price,full-price,49
299,2015-W15,classic-box,Full Price,full-price,49
299,2015-W17,classic-box,Full Price,full-price,49
299,2015-W21,classic-box,Full Price,full-price,49
299,2015-W25,classic-box,Full Price,full-price,49
299,2015-W29,classic-box,Full Price,full-price,49
299,2015-W35,classic-box,Full Price,full-price,49
299,2015-W37,classic-box,Full Price,full-price,49
308,2015-W15,veggie-box,Daily Deal Wien 3x2,daily-deals,39
310,2015-W37,classic-box,ServusA_20_KAEAT,gift-card-flyer-campaigns,49
310,2015-W38,classic-box,ServusA_20_KAEAT,gift-card-flyer-campaigns,49
310,2015-W39,classic-box,ServusA_20_KAEAT,gift-card-flyer-campaigns,49
310,2015-W40,classic-box,ServusA_20_KAEAT,gift-card-flyer-campaigns,49
310,2015-W41,classic-box,ServusA_20_KAEAT,gift-card-flyer-campaigns,49
